observation_frame,unscaled_time,frame_timing_timestamp,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms"
6715,61.216523504818589,18968837581546,9.137103334069252,8.4814,0.345088,3.6856,14475,0.0012799999999999999,,,,0.18534399999999998,0.000256,0.16,0.0097279999999999988,,,,,1.7118719999999998
6716,61.225320401077092,18968837666360,8.79689585417509,7.494,9.106432,3.6251,14475,0.0012799999999999999,,,,0.388096,0.000256,0.36147199999999996,0.009216,,,,,1.64608
6717,61.233793700396824,18968837741300,8.4732994437217712,10.1498,8.773888,3.5796,20917,0.0012799999999999999,,,,0.188416,0.000256,0.163072,0.008704,,,,,1.2953599999999998
6718,61.243112804705213,18968837842798,9.3191042542457581,9.0916,8.446976,3.3658,14475,0.0012799999999999999,,,,0.19327999999999998,0,0.16896,0.008704,,,,,1.2992
6719,61.251790901360543,18968837933714,8.67809634655714,8.7931,9.279744,3.5165,14527,0.001024,,,,0.19686399999999998,0,0.17024,0.0084479999999999989,,,,,1.294336
6720,61.260815100623581,18968838021645,9.0241990983486176,8.4227,8.665088,3.6522,14475,0.001024,,,,0.193024,0.000256,0.168704,0.009472,,,,,1.5262719999999999
6721,61.268964200680273,18968838105872,8.1491004675626755,9.4209,8.99328,4.0566,14475,0.0012799999999999999,,,,0.407296,0.000256,0.382208,0.018688,,,,,1.679104
6722,61.277919203514735,18968838200081,8.9550027623772621,8.6131,8.12672,3.8297,14475,0.001024,,,,0.19455999999999998,0,0.169728,0.008704,,,,,1.313536
6723,61.286961699263038,18968838286212,9.0424958616495132,9.2528,8.921856,3.4917,14475,0.001024,,,,0.18944,0,0.16512,0.00896,,,,,1.52064
6724,61.295946301020408,18968838378740,8.9846020564436913,8.1381,9.013504,3.6008,14595,0.0012799999999999999,,,,0.193024,0,0.168704,0.0084479999999999989,,,,,1.294336
